King's Recruit,1,,,,,Caravan Driver,Ragni Outskirts,Wynn,Long,Normal,6,35,"1 Ragni Teleport Scroll
 Access to the Province of Wynn"
Enzan's Brother,,,,,,Enzan,Ragni,Wynn,Short,Normal,0,100,First Steps
Poisoning the Pest,2,,,,,Farmer Cevalus,Ragni,Wynn,Medium,Normal,25,145,Access to Farmer Cevalus's Farm
Cook Assistant,3,,,,,The Cook,Ragni,Wynn,Short,Normal,28,200,"1 Royal Cake Slice
 1 Waist Apron"
Infested Plants,4,,,,,Ope,Nivla Woods,Wynn,Short,Normal,5,270,1 Cleaned Saccharum
Tunnel Trouble,5,,,,,Captain Fenor,Detlas,Wynn,Long,Normal,55,300,Access to fast travel between Ragni and Detlas.
The Sewers of Ragni,5,,,,,Jenprest,Decrepit Sewers,Wynn,Medium,Dungeon,0,350,"1 Thoracic
 1 Decrepit Sewers Dungeon Key
 Access to the Decrepit Sewers Dungeon"
Underwater,8,,,,1,Omango,Coastal Trail,Wynn,Medium,Normal,32,550,"50 Fishing Experience Points
 1 Breathing Helmet
 1 Treasure Boots
 1 Gathering Rod T1"
Elemental Exercise,10,,,,,Ragon,Nivla Woods,Wynn,Medium,Normal,64,850,"Ragon's Bracelet
 1 Vibrant Augment"
Mushroom Man,12,,,,,Yahya,Nivla Woods,Wynn,Medium,Normal,128,1000,Yahya's Stained Bowl
Arachnids' Ascent,14,,,,,Captain Enduyn,Infested Pit,Wynn,Medium,Dungeon,0,850,"1 Infested Pit Dungeon Key
 Access to the Infested Pit Dungeon"
Creeper Infiltration,14,,,,,Thomas,Pigmen's Ravines,Wynn,Medium,Normal,64,1400,1 Creeper Mask
Deja Vu,14,,,,,Asher,Time Valley,Wynn,Medium,Normal,28,1700,1 Familiar Essence
Potion Making,15,,,,,The Assistant,Essren's Hut,Wynn,Medium,Normal,0,1600,"Essren's Coat
 1 Weakening Catalyst"
Maltics Well,18,,,,,Rynend,Maltic,Wynn,Short,Normal,0,2000,1 Maltic's Recommendation Letter
Grave Digger,20,,,,,Sayleros,Detlas,Wynn,Medium,Normal,128,3300,"1 Sayleros' Brother's Ashes
 Access to the Saint's Row Graveyard"
Macabre Masquerade Hallowynn 2014,21,,,,,Mask Salesman,Near Mount Wynn,Wynn,Short,Event,192,10000,
Studying the Corrupt,21,,,,,Pottur,Lost Sanctuary,Wynn,Medium,Dungeon,0,3600,"1 Lost Sanctuary Dungeon Key
 Access to the Lost Sanctuary Dungeon"
Pit of the Dead,23,,,,,Merloni,Pit of the Dead,Wynn,Short,Normal,0,2675,Skeletal Legs
Cluck Cluck,23,,,,,Nohno,Rooster Island,Wynn,Short,Normal,0,2800,Cluckles' Favourite Feather
The Dark Descent,24,,,,,General Graken,Underworld Crypt,Wynn,Long,Dungeon,0,2400,"Dark Diadem
 Underworld Crypt Dungeon Key
 Access to the Underworld Crypt Dungeon"
Dwelling Walls,24,,,,,Leucsaa,Nemract,Wynn,Medium,Normal,128,3650,
Recover the Past,25,,,,,Dr. Picard,Tower of Amnesia,Wynn,Long,Normal,0,6000,"1 Shattered Memory Shard
 1 Reset Scroll"
Lost Tower,26,,,,,Laen,Nemract,Wynn,Short,Normal,64,6500,
The Corrupted Village,26,,,,,Orikal,Corrupted Village,Wynn,Long,Normal,136,4800,Corrupted Potato
The Mercenary,28,,,,,Mylo,Nemract,Wynn,Medium,Normal,384,10000,1 Vindicator
Misadventure on the Sea,28,,,,,Barman,Nemract,Wynn,Long,Normal,0,8500,"4 Nemract Boat Passes
 4 Selchar Boat Passes"
Craftmas Chaos,30,,,,,Tom,Selchar,Ocean,Long,Event,640,12000,
Green Gloop,31,,,,,Eluzterp,Slime Cave,Wynn,Medium,Normal,192,9500,Access to the Glassblowing Merchant
A Sandy Scandal,32,,,,,Almuj Bank Guard,Almuj,Wynn,Long,Normal,128,22000,Access to the Almuj Bank
Kingdom of Sand,33,,,,,Lanu,Sand-Swept Tomb,Wynn,Long,Dungeon,192,10000,"1 Sand-Swept Tomb Key
 Access to the Sand-Swept Tomb dungeon"
Meaningful Holiday,33,,,,,Haily,Almuj,Wynn,Long,Event,128,15000,
Stable Story,34,,,,,Enkser,Ternaves,Wynn,Short,Normal,0,9000,"1 Brown Horse
 Access to Ternaves' Horse Shop"
Tribal Aggression,35,,,,,Caras,Mesa,Wynn,Medium,Normal,0,24000,42 Gold Ingot
